Survived,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Name
1,3,female,19,0,0,7.8792,Miss. Margaret Delia Devaney
0,3,male,30,0,0,8.05,Mr. William John Rogers
0,3,male,20,1,0,15.5,Mr. Denis Lennon
1,3,female,27,0,0,7.75,Miss. Bridget O'Driscoll
0,3,male,16,2,0,21.6792,Mr. Youssef Samaan
0,3,female,18,1,0,17.8,Mrs. Josef (Josefine Franchi) Arnold-Franchi
0,3,male,7,4,1,39.6875,Master. Juha Niilo Panula
0,3,male,21,0,0,7.8,Mr. Richard Cater Nosworthy
1,1,female,49,1,0,76.7292,Mrs. Henry Sleeper (Myna Haxtun) Harper
1,2,female,29,1,0,26,Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe
0,1,male,65,0,1,61.9792,Mr. Engelhart Cornelius Ostby
1,1,male,46,0,0,35.5,Mr. Hugh Woolner
1,2,female,21,0,0,10.5,Miss. Emily Rugg
0,3,male,28.5,0,0,7.2292,Mr. Mansouer Novel
1,2,female,5,1,2,27.75,Miss. Constance Mirium West
0,3,male,11,5,2,46.9,Master. William Frederick Goodwin
0,3,male,22,0,0,7.2292,Mr. Orsen Sirayanian
1,1,female,38,0,0,80,Miss. Amelie Icard
0,1,male,45,1,0,83.475,Mr. Henry Birkhardt Harris
0,3,male,4,3,2,27.9,Master. Harald Skoog
0,1,male,64,0,0,27.7208,Mr. Albert A Stewart
1,3,male,7,1,1,15.2458,Master. Gerios Moubarek
1,2,female,29,0,0,10.5,Mrs. (Elizabeth Ramell) Nye
0,3,male,19,0,0,8.1583,Mr. Ernest James Crease
1,3,female,17,4,2,7.925,Miss. Erna Alexandra Andersson
0,3,male,26,2,0,8.6625,Mr. Vincenz Kink
0,2,male,32,0,0,10.5,Mr. Stephen Curnow Jenkin
0,3,female,16,5,2,46.9,Miss. Lillian Amy Goodwin
0,2,male,21,0,0,73.5,Mr. Ambrose Jr Hood
0,3,male,26,1,0,14.4542,Mr. Apostolos Chronopoulos
1,3,male,32,0,0,56.4958,Mr. Lee Bing
0,3,male,25,0,0,7.65,Mr. Sigurd Hansen Moen
0,3,male,23,0,0,7.8958,Mr. Ivan Staneff
0,3,male,28,0,0,8.05,Mr. Rahamin Haim Moutal
1,2,male,0.83,0,2,29,Master. Alden Gates Caldwell
1,3,female,30,0,0,12.475,Miss. Elizabeth Dowdell
0,3,male,22,0,0,9,Mr. Achille Waelens
1,3,male,29,0,0,9.5,Mr. Jan Baptist Sheerlinck
1,3,female,31,0,0,7.7875,Miss. Brigdet Delia McDermott
0,1,male,28,0,0,47.1,Mr. Francisco M Carrau
1,2,female,17,0,0,10.5,Miss. Bertha Ilett
1,3,female,33,3,0,15.85,Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom
0,3,male,16,1,3,34.375,Mr. William Neal Ford
0,3,male,20,0,0,8.05,Mr. Selman Francis Slocovski
1,1,female,23,3,2,263,Miss. Mabel Helen Fortune
0,3,male,24,0,0,8.05,Mr. Francesco Celotti
0,3,male,29,0,0,8.05,Mr. Emil Christmann
0,3,male,20,0,0,7.8542,Mr. Paul Edvin Andreasson
0,1,male,46,1,0,61.175,Mr. Herbert Fuller Chaffee
0,3,male,26,1,2,20.575,Mr. Bertram Frank Dean
0,3,male,59,0,0,7.25,Mr. Daniel Coxon
0,3,male,22,0,0,8.05,Mr. Charles Joseph Shorney
0,1,male,71,0,0,34.6542,Mr. George B Goldschmidt
1,1,male,23,0,1,63.3583,Mr. William Bertram Greenfield
1,2,female,34,0,1,23,Mrs. John T (Ada Julia Bone) Doling
0,2,male,34,1,0,26,Mr. Sinai Kantor
0,3,female,28,0,0,7.8958,Miss. Matilda Petranec
0,3,male,29,0,0,7.8958,Mr. Pastcho Petroff
0,1,male,21,0,1,77.2875,Mr. Richard Frasar White
0,3,male,33,0,0,8.6542,Mr. Gustaf Joel Johansson
0,3,male,37,2,0,7.925,Mr. Anders Vilhelm Gustafsson
0,3,male,28,0,0,7.8958,Mr. Stoytcho Mionoff
1,3,female,21,0,0,7.65,Miss. Anna Kristine Salkjelsvik
1,3,male,29,0,0,7.775,Mr. Albert Johan Moss
0,3,male,38,0,0,7.8958,Mr. Tido Rekic
1,3,female,28,1,0,24.15,Miss. Bertha Moran
0,1,male,47,0,0,52,Mr. Walter Chamberlain Porter
0,3,female,14.5,1,0,14.4542,Miss. Hileni Zabour
0,3,male,22,0,0,8.05,Mr. David John Barton
0,3,female,20,1,0,9.825,Miss. Katriina Jussila
0,3,female,17,0,0,14.4583,Miss. Malake Attalah
0,3,male,21,0,0,7.925,Mr. Edvard Pekoniemi
0,3,male,70.5,0,0,7.75,Mr. Patrick Connors
0,2,male,29,1,0,21,Mr. William John Robert Turpin
0,1,male,24,0,1,247.5208,Mr. Quigg Edmond Baxter
0,3,female,2,4,2,31.275,Miss. Ellis Anna Maria Andersson
0,2,male,21,2,0,73.5,Mr. Stanley George Hickman
0,3,male,19,0,0,8.05,Mr. Leonard Charles Moore
0,2,male,32.5,1,0,30.0708,Mr. Nicholas Nasser
1,2,female,32.5,0,0,13,Miss. Susan Webber
0,1,male,54,0,1,77.2875,Mr. Percival Wayland White
1,3,male,12,1,0,11.2417,Master. Elias Nicola-Yarred
0,3,male,19,0,0,7.75,Mr. Martin McMahon
1,3,male,24,0,0,7.1417,Mr. Fridtjof Arne Madsen
1,3,female,2,1,1,22.3583,Miss. Anna Peter
0,3,male,45,0,0,6.975,Mr. Johan Ekstrom
0,3,male,33,0,0,7.8958,Mr. Jozef Drazenoic
0,3,male,20,0,0,7.05,Mr. Domingos Fernandeo Coelho
0,3,female,47,1,0,14.5,Mrs. Alexander A (Grace Charity Laury) Robins
1,2,female,29,1,0,26,Mrs. Leopold (Mathilde Francoise Pede) Weisz
0,2,male,25,0,0,13,Mr. Samuel James Hayden Sobey
0,2,male,23,0,0,15.0458,Mr. Emile Richard
1,1,female,19,0,2,26.2833,Miss. Helen Monypeny Newsom
0,1,male,37,1,0,53.1,Mr. Jacques Heath Futrelle
0,3,male,16,0,0,9.2167,Mr. Olaf Elon Osen
0,1,male,24,0,0,79.2,Mr. Victor Giglio
0,3,female,40,0,2,15.2458,Mrs. Joseph (Sultana) Boulos
1,3,female,22,0,0,7.75,Miss. Anna Sofia Nysten
1,3,female,24,1,0,15.85,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen
0,3,male,19,0,0,6.75,Mr. Jeremiah Burke
0,2,male,18,0,0,11.5,Mr. Edgardo Samuel Andrew
0,2,male,19,1,1,36.75,Mr. Joseph Charles Nicholls
1,3,male,27,0,0,7.7958,Mr. August Edvard Andersson
0,3,female,9,2,2,34.375,Miss. Robina Maggie Ford
0,2,male,36.5,0,2,26,Mr. Michel Navratil
0,2,male,42,0,0,13,Rev. Thomas Roussel Davids Byles
0,2,male,51,0,0,12.525,Rev. Robert James Bateman
1,1,female,22,1,0,66.6,Mrs. Thomas (Edith Wearne) Pears
0,3,male,55.5,0,0,8.05,Mr. Alfonzo Meo
0,3,male,40.5,0,2,14.5,Mr. Austin Blyler van Billiard
0,3,male,27,0,0,7.3125,Mr. Ole Martin Olsen
0,1,male,51,0,1,61.3792,Mr. Charles Duane Williams
1,3,female,16,0,0,7.7333,Miss. Katherine Gilnagh
0,3,male,30,0,0,8.05,Mr. Harry Corn
0,3,male,37,0,0,8.6625,Mr. Mile Smiljanic
0,3,male,5,8,2,69.55,Master. Thomas Henry Sage
0,3,male,44,0,1,16.1,Mr. John Hatfield Cribb
1,2,female,40,0,0,15.75,Mrs. James (Elizabeth Inglis Milne) Watt
0,3,male,26,0,0,7.775,Mr. John Viktor Bengtsson
0,3,male,17,0,0,8.6625,Mr. Jovo Calic
0,3,male,1,4,1,39.6875,Master. Eino Viljami Panula
1,3,male,9,0,2,20.525,Master. Frank John William Goldsmith
1,1,female,48,0,1,55,Mrs. (Edith Martha Bowerman) Chibnall
0,3,female,45,1,4,27.9,Mrs. William (Anna Bernhardina Karlsson) Skoog
0,1,male,60,0,0,25.925,Mr. John D Baumann
0,3,male,28,0,0,56.4958,Mr. Lee Ling
0,1,male,61,0,0,33.5,Mr. Wyckoff Van der hoef
0,3,male,4,4,1,29.125,Master. Arthur Rice
1,3,female,1,1,1,11.1333,Miss. Eleanor Ileen Johnson
0,3,male,21,0,0,7.925,Mr. Antti Wilhelm Sivola
0,1,male,56,0,0,30.6958,Mr. James Clinch Smith
0,3,male,18,1,1,7.8542,Mr. Klas Albin Klasen
0,3,male,5,3,1,25.4667,Master. Henry Forbes Lefebre
0,1,female,50,0,0,28.7125,Miss. Ann Elizabeth Isham
0,2,male,30,0,0,13,Mr. Reginald Hale
0,3,male,36,0,0,0,Mr. Lionel Leonard
0,3,female,8,8,2,69.55,Miss. Constance Gladys Sage
0,2,male,39,0,0,15.05,Mr. Rene Pernot
0,3,male,9,4,2,31.3875,Master. Clarence Gustaf Hugo Asplund
1,2,male,1,2,1,39,Master. Richard F Becker
1,3,female,4,0,2,22.025,Miss. Luise Gretchen Kink-Heilmann
0,1,male,39,0,0,50,Mr. Hugh Roscoe Rood
1,3,female,26,1,0,15.5,Mrs. Thomas (Johanna Godfrey) O'Brien
1,1,male,45,0,0,26.55,Mr. Charles Hallace Romaine
0,3,male,40,1,1,15.5,Mr. John Bourke
0,3,male,36,0,0,7.8958,Mr. Stjepan Turcin
1,2,female,32,0,0,13,Mrs. (Rosa) Pinsky
0,2,male,19,0,0,13,Mr. William Carbines
1,3,female,19,1,0,7.8542,Miss. Carla Christine Nielsine Andersen-Jensen
1,2,male,3,1,1,26,Master. Michel M Navratil
1,1,female,44,0,0,27.7208,Mrs. James Joseph (Margaret Tobin) Brown
1,1,female,58,0,0,146.5208,Miss. Elise Lurette
0,3,male,28,0,0,7.75,Mr. Robert Mernagh
0,3,male,42,0,1,8.4042,Mr. Karl Siegwart Andreas Olsen
1,3,female,21,0,0,7.75,Miss. Margaret Madigan
0,2,female,24,0,0,13,Miss. Henriette Yrois
0,3,male,28,0,0,9.5,Mr. Nestor Cyriel Vande Walle
0,3,male,17,8,2,69.55,Mr. Frederick Sage
0,3,male,34,0,0,6.4958,Mr. Jakob Alfred Johanson
0,3,male,45.5,0,0,7.225,Mr. Gerious Youseff
1,3,male,18,0,0,8.05,Mr. Gurshon Cohen
0,3,female,2,0,1,10.4625,Miss. Telma Matilda Strom
0,3,male,32,1,0,15.85,Mr. Karl Alfred Backstrom
1,3,male,26,0,0,18.7875,Mr. Nassef Cassem Albimona
1,3,female,16,0,0,7.75,Miss. Helen Carr
1,1,male,40,0,0,31,Mr. Henry Blank
0,3,male,24,0,0,7.05,Mr. Ahmed Ali
1,2,female,35,0,0,21,Miss. Clear Annie Cameron
0,3,male,22,0,0,7.25,Mr. John Henry Perkin
0,2,male,30,0,0,13,Mr. Hans Kristensen Givard
0,3,male,22,1,0,7.75,Mr. Philip Kiernan
1,1,female,31,1,0,113.275,Miss. Madeleine Newell
1,3,female,27,0,0,7.925,Miss. Eliina Honkanen
0,2,male,42,1,0,27,Mr. Sidney Samuel Jacobsohn
1,1,female,32,0,0,76.2917,Miss. Albina Bazzani
0,2,male,30,0,0,10.5,Mr. Walter Harris
1,3,male,16,0,0,8.05,Mr. Victor Francis Sunderland
0,2,male,27,0,0,13,Mr. James H Bracken
0,3,male,51,0,0,8.05,Mr. George Henry Green
0,3,male,22,0,0,7.8958,Mr. Christo Nenkoff
1,1,male,38,1,0,90,Mr. Frederick Maxfield Hoyt
0,3,male,22,0,0,9.35,Mr. Karl Ivar Sven Berglund
1,2,male,19,0,0,10.5,Mr. William John Mellors
0,3,male,20.5,0,0,7.25,Mr. John Hall Lovell
0,2,male,18,0,0,13,Mr. Arne Jonas Fahlstrom
0,3,female,12,3,1,25.4667,Miss. Mathilde Lefebre
1,1,female,35,1,0,83.475,Mrs. Henry Birkhardt (Irene Wallach) Harris
0,3,male,29,0,0,7.775,Mr. Bengt Edvin Larsson
0,2,male,59,0,0,13.5,Mr. Ernst Adolf Sjostedt
1,3,female,5,4,2,31.3875,Miss. Lillian Gertrud Asplund
0,2,male,24,0,0,10.5,Mr. Robert William Norman Leyson
0,3,female,21,0,0,7.55,Miss. Alice Phoebe Harknett
0,2,male,44,1,0,26,Mr. Stephen Hold
1,2,female,8,0,2,26.25,Miss. Marjorie Collyer
0,2,male,19,0,0,10.5,Mr. Frederick William Pengelly
0,2,male,33,0,0,12.275,Mr. George Henry Hunt
0,3,female,19,1,0,14.4542,Miss. Thamine Zabour
1,3,female,18,1,0,15.5,Miss. Katherine Murphy
0,2,male,29,0,0,10.5,Mr. Reginald Charles Coleridge
0,3,male,22,0,0,7.125,Mr. Matti Alexanteri Maenpaa
0,3,male,30,0,0,7.225,Mr. Sleiman Attalah
0,1,male,44,2,0,90,Dr. William Edward Minahan
0,3,female,25,0,0,7.775,Miss. Agda Thorilda Viktoria Lindahl
1,2,female,24,0,2,14.5,Mrs. William (Anna) Hamalainen
1,1,male,37,1,1,52.5542,Mr. Richard Leonard Beckwith
0,2,male,54,1,0,26,Rev. Ernest Courtenay Carter
0,3,male,18,0,0,7.25,Mr. James George Reed
0,3,female,29,1,1,10.4625,Mrs. Wilhelm (Elna Matilda Persson) Strom
0,1,male,62,0,0,26.55,Mr. William Thomas Stead
0,3,male,30,1,0,16.1,Mr. William Arthur Lobb
0,3,female,41,0,2,20.2125,Mrs. Viktor (Helena Wilhelmina) Rosblom
1,3,female,29,0,2,15.2458,Mrs. Darwis (Hanne Youssef Razi) Touma
1,1,female,38,0,0,79.2,Mrs. Gertrude Maybelle Thorne
1,1,female,30,0,0,86.5,Miss. Gladys Cherry
1,1,female,35,0,0,512.3292,Miss. Anna Ward
1,2,female,50,0,1,26,Mrs. (Lutie Davis) Parrish
1,3,male,3,4,2,31.3875,Master. Edvin Rojj Felix Asplund
0,1,male,52,1,1,79.65,Mr. Emil Taussig
0,1,male,40,0,0,0,Mr. William Harrison
0,3,female,21,0,0,7.75,Miss. Delia Henry
0,2,male,36,0,0,10.5,Mr. David Reeves
0,3,male,16,4,1,39.6875,Mr. Ernesti Arvid Panula
1,3,male,25,1,0,7.775,Mr. Ernst Ulrik Persson
1,1,female,58,0,1,153.4625,Mrs. William Thompson (Edith Junkins) Graham
1,1,female,35,0,0,135.6333,Miss. Amelia Bissette
0,1,male,28,0,0,31,Mr. Alexander Cairns
1,3,male,25,0,0,0,Mr. William Henry Tornquist
1,2,female,41,0,1,19.5,Mrs. (Elizabeth Anne Maidment) Mellinger
0,1,male,37,0,1,29.7,Mr. Charles H Natsch
1,3,female,33,0,0,7.75,Miss. Hanora Healy
1,1,female,63,1,0,77.9583,Miss. Kornelia Theodosia Andrews
0,3,female,45,0,0,7.75,Miss. Augusta Charlotta Lindblom
0,2,male,21,0,0,0,Mr. Francis Parkes
0,3,male,7,4,1,29.125,Master. Eric Rice
1,3,female,35,1,1,20.25,Mrs. Stanton (Rosa Hunt) Abbott
0,3,male,65,0,0,7.75,Mr. Frank Duane
0,3,male,28,0,0,7.8542,Mr. Nils Johan Goransson Olsson
0,3,male,16,0,0,9.5,Mr. Alfons de Pelsmaeker
1,3,male,19,0,0,8.05,Mr. Edward Arthur Dorking
0,1,male,57,0,0,26,Mr. Richard William Smith
0,3,male,33,0,0,8.6625,Mr. Ivan Stankovic
1,3,male,30,0,0,9.5,Mr. Theodore de Mulder
0,3,male,22,0,0,7.8958,Mr. Penko Naidenoff
1,2,male,42,0,0,13,Mr. Masabumi Hosono
1,3,female,22,0,0,7.75,Miss. Kate Connolly
1,1,female,26,0,0,78.85,Miss. Ellen Barber
1,1,female,19,1,0,91.0792,Mrs. Dickinson H (Helen Walton) Bishop
0,2,male,36,0,0,12.875,Mr. Rene Jacques Levy
0,3,female,24,0,0,8.85,Miss. Aloisia Haas
0,3,male,24,0,0,7.8958,Mr. Ivan Mineff
0,1,male,30,0,0,27.7208,Mr. Ervin G Lewy
0,3,male,23.5,0,0,7.2292,Mr. Mansour Hanna
0,1,female,2,1,2,151.55,Miss. Helen Loraine Allison
1,1,male,47,0,0,30.5,Mr. Adolphe Saalfeld
1,1,female,50,0,1,247.5208,Mrs. James (Helene DeLaudeniere Chaput) Baxter
1,3,female,20,0,0,7.75,Miss. Anna Katherine Kelly
1,3,male,24,2,0,23.25,Mr. Bernard McCoy
0,3,male,19,0,0,0,Mr. William Cahoone Jr Johnson
1,2,female,46,0,0,12.35,Miss. Nora A Keane
0,3,male,28,0,0,8.05,Mr. Howard Hugh Williams
1,1,male,0.92,1,2,151.55,Master. Hudson Trevor Allison
1,1,female,42,0,0,110.8833,Miss. Margaret Fleming
1,1,female,17,1,0,108.9,Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana
0,2,male,30,1,0,24,Mr. Samuel Abelson
1,1,female,30,0,0,56.9292,Miss. Laura Mabel Francatelli
1,1,female,24,0,0,83.1583,Miss. Margaret Bechstein Hays
1,1,female,18,2,2,262.375,Miss. Emily Borie Ryerson
0,2,female,26,1,1,26,Mrs. William (Anna Sylfven) Lahtinen
0,3,male,28,0,0,7.8958,Mr. Ignjac Hendekovic
0,2,male,43,1,1,26.25,Mr. Benjamin Hart
1,3,female,26,0,0,7.8542,Miss. Helmina Josefina Nilsson
1,2,female,24,1,0,26,Mrs. Sinai (Miriam Sternin) Kantor
0,2,male,54,0,0,14,Dr. Ernest Moraweck
1,1,female,31,0,2,164.8667,Miss. Mary Natalie Wick
1,1,female,40,1,1,134.5,Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden
0,3,male,22,0,0,7.25,Mr. Samuel Dennis
0,3,male,27,0,0,7.8958,Mr. Yoto Danoff
1,2,female,30,0,0,12.35,Miss. Hilda Mary Slayter
1,2,female,22,1,1,29,Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell
0,3,male,20,8,2,69.55,Mr. George John Jr Sage
1,1,female,36,0,0,135.6333,Miss. Marie Grice Young
0,3,male,61,0,0,6.2375,Mr. Johan Hansen Nysveen
1,2,female,36,0,0,13,Mrs. (Ada E Hall) Ball
1,3,female,31,1,1,20.525,Mrs. Frank John (Emily Alice Brown) Goldsmith
1,1,female,16,0,1,57.9792,Miss. Jean Gertrude Hippach
1,3,female,28,2,0,23.25,Miss. Agnes McCoy
0,1,male,45.5,0,0,28.5,Mr. Austen Partner
0,1,male,38,0,1,153.4625,Mr. George Edward Graham
0,3,male,16,2,0,18,Mr. Leo Edmondus Vander Planke
1,1,female,42,1,0,133.65,Mrs. Henry William (Clara Heinsheimer) Frauenthal
0,3,male,30,0,0,7.8958,Mr. Mitto Denkoff
0,1,male,29,1,0,66.6,Mr. Thomas Clinton Pears
1,1,female,41,0,0,134.5,Miss. Elizabeth Margaret Burns
1,3,male,45,0,0,8.05,Mr. Karl Edwart Dahl
0,1,male,45,0,0,35.5,Mr. Stephen Weart Blackwell
1,2,male,2,1,1,26,Master. Edmond Roger Navratil
1,1,female,24,3,2,263,Miss. Alice Elizabeth Fortune
0,2,male,28,0,0,13,Mr. Erik Gustaf Collander
0,2,male,25,0,0,13,Mr. Charles Frederick Waddington Sedgwick
0,2,male,36,0,0,13,Mr. Stanley Hubert Fox
1,2,female,24,0,0,13,Miss. Amelia Brown
1,2,female,40,0,0,13,Miss. Marion Elsie Smith
1,3,female,34,1,0,16.1,Mrs. Thomas Henry (Mary E Finck) Davison
1,3,male,3,1,1,15.9,Master. William Loch Coutts
0,3,male,42,0,0,8.6625,Mr. Jovan Dimic
0,3,male,23,0,0,9.225,Mr. Nils Martin Odahl
0,1,male,43,0,0,35,Mr. Fletcher Fellows Williams-Lambert
0,3,male,15,1,1,7.2292,Mr. Tannous Elias
0,3,male,25,1,0,17.8,Mr. Josef Arnold-Franchi
0,3,male,23,0,0,7.225,Mr. Wazli Yousif
0,3,male,28,0,0,9.5,Mr. Leo Peter Vanden Steen
1,1,female,22,0,1,55,Miss. Elsie Edith Bowerman
0,2,female,38,0,0,13,Miss. Annie Clemmer Funk
1,3,female,22,0,0,7.8792,Miss. Mary McGovern
1,3,female,23,0,0,7.8792,Miss. Helen Mary Mockler
0,3,male,40,1,4,27.9,Mr. Wilhelm Skoog
0,2,male,29,1,0,27.7208,Mr. Sebastiano del Carlo
0,3,female,45,0,1,14.4542,Mrs. (Catherine David) Barbara
0,3,male,35,0,0,7.05,Mr. Adola Asim
0,3,male,27,1,0,15.5,Mr. Thomas O'Brien
0,3,male,30,0,0,7.25,Mr. Mauritz Nils Martin Adahl
1,1,female,60,1,0,75.25,Mrs. Frank Manley (Anna Sophia Atkinson) Warren
1,3,female,35,0,0,7.2292,Mrs. (Mantoura Boulos) Moussa
1,3,female,22,0,0,7.75,Miss. Annie Jermyn
1,1,female,24,0,0,69.3,Mme. Leontine Pauline Aubart
1,1,male,25,1,0,55.4417,Mr. George Achilles Harder
0,3,male,18,1,0,6.4958,Mr. Jakob Alfred Wiklund
0,3,male,19,0,0,8.05,Mr. William Thomas Beavan
0,1,male,22,0,0,135.6333,Mr. Sante Ringhini
0,3,female,3,3,1,21.075,Miss. Stina Viola Palsson
1,1,female,25,1,0,82.1708,Mrs. Edgar Joseph (Leila Saks) Meyer
1,3,female,22,0,0,7.25,Miss. Aurora Adelia Landergren
0,1,male,27,0,2,211.5,Mr. Harry Elkins Widener
0,3,male,20,0,0,4.0125,Mr. Tannous Betros
0,3,male,19,0,0,7.775,Mr. Karl Gideon Gustafsson
1,1,female,42,0,0,227.525,Miss. Rosalie Bidois
1,3,female,1,0,2,15.7417,Miss. Maria Nakid
0,3,male,32,0,0,7.925,Mr. Juho Tikkanen
1,1,female,35,1,0,52,Mrs. Alexander Oskar (Mary Aline Towner) Holverson
0,3,male,27,0,0,7.8958,Mr. Vasil Plotcharsky
0,2,male,18,0,0,73.5,Mr. Charles Henry Davies
0,3,male,1,5,2,46.9,Master. Sidney Leonard Goodwin
1,2,female,36,0,0,13,Miss. Kate Buss
0,3,male,19,0,0,7.7292,Mr. Matthew Sadlier
1,2,female,17,0,0,12,Miss. Bertha Lehmann
1,1,male,36,1,2,120,Mr. William Ernest Carter
1,3,male,21,0,0,7.7958,Mr. Carl Olof Jansson
0,3,male,28,2,0,7.925,Mr. Johan Birger Gustafsson
1,1,female,23,1,0,113.275,Miss. Marjorie Newell
1,3,female,24,0,2,16.7,Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom
0,3,male,22,0,0,7.7958,Mr. Erik Johansson
0,3,female,31,0,0,7.8542,Miss. Elina Olsson
0,2,male,46,0,0,26,Mr. Peter David McKane
0,2,male,23,0,0,10.5,Dr. Alfred Pain
1,2,female,28,0,0,12.65,Mrs. William H (Jessie L) Trout
1,3,male,39,0,0,7.925,Mr. Juha Niskanen
0,3,male,26,0,0,8.05,Mr. John Adams
0,3,female,21,1,0,9.825,Miss. Mari Aina Jussila
0,3,male,28,1,0,15.85,Mr. Pekka Pietari Hakkarainen
0,3,female,20,0,0,8.6625,Miss. Marija Oreskovic
0,2,male,34,1,0,21,Mr. Shadrach Gale
0,3,male,51,0,0,7.75,Mr. Carl/Charles Peter Widegren
1,2,male,3,1,1,18.75,Master. William Rowe Richards
0,3,male,21,0,0,7.775,Mr. Hans Martin Monsen Birkeland
0,3,female,3,3,1,25.4667,Miss. Ida Lefebre
0,3,male,42,0,0,7.8958,Mr. Todor Sdycoff
0,3,male,27,0,0,6.8583,Mr. Henry Hart
1,1,female,33,1,0,90,Miss. Daisy E Minahan
0,2,male,22,0,0,0,Mr. Alfred Fleming Cunningham
1,3,male,44,0,0,7.925,Mr. Johan Julian Sundman
0,3,female,32,0,0,8.05,Mrs. Thomas (Annie Louise Rowley) Meek
1,2,female,34,1,1,32.5,Mrs. James Vivian (Lulu Thorne Christian) Drew
1,2,female,18,0,2,13,Miss. Lyyli Karoliina Silven
0,2,male,30,0,0,13,Mr. William John Matthews
0,3,female,10,0,2,24.15,Miss. Catharina Van Impe
0,3,male,21,0,0,7.7333,Mr. David Charters
0,3,male,29,0,0,7.875,Mr. Leo Zimmerman
0,3,female,28,1,1,14.4,Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom
0,3,male,18,1,1,20.2125,Mr. Viktor Richard Rosblom
0,3,male,54,0,0,7.25,Mr. Phillippe Wiseman
1,2,female,28,1,0,26,Mrs. Charles V (Ada Maria Winfield) Clarke
1,2,female,19,0,0,26,Miss. Kate Florence Phillips
0,3,male,28,0,0,7.75,Mr. James Flynn
1,3,male,32,0,0,8.05,Mr. Berk (Berk Trembisky) Pickard
1,1,male,28,0,0,26.55,Mr. Mauritz Hakan Bjornstrom-Steffansson
1,3,female,33,1,0,16.1,Mrs. Percival (Florence Kate White) Thorneycroft
